term,p_pos,p_neg,class
excelente,0.9919043535940204,0.008095646405979519,positivo
agradável,0.9717875145405196,0.028212485459480418,positivo
ótimo,0.9884785196216967,0.011521480378303264,positivo
melhor,0.9327033074064036,0.06729669259359652,positivo
ótima,0.9863168364740988,0.013683163525901234,positivo
aconchegante,0.9893555149793738,0.010644485020626223,positivo
justo,0.9878059534157188,0.012194046584281271,positivo
grande,0.9313906357307334,0.0686093642692665,positivo
deliciosa,0.9944337556418726,0.005566244358127322,positivo
maravilhoso,0.9917564567653908,0.008243543234609345,positivo
saborosa,0.9790597031131242,0.020940296886875858,positivo
bons,0.9566941794404544,0.0433058205595455,positivo
maravilhosa,0.9906806299262348,0.009319370073765184,positivo
melhores,0.9302396840528394,0.06976031594716056,positivo
simples,0.9017521810928116,0.09824781890718848,positivo
delicioso,0.9937293729372936,0.006270627062706271,positivo
rápido,0.9724956928378046,0.027504307162195426,positivo
gostoso,0.9693135986606805,0.030686401339319682,positivo
caro,0.7863223542244671,0.21367764577553292,positivo
atencioso,0.9783588365991741,0.021641163400825975,positivo
atenciosos,0.9786146331587072,0.02138536684129274,positivo
boas,0.9539205982623996,0.04607940173760036,positivo
deliciosos,0.9957864092545776,0.004213590745422508,positivo
gostosa,0.9696347552784326,0.030365244721567437,positivo
variado,0.9897289473162414,0.01027105268375865,positivo
primeira,0.8894017599308761,0.1105982400691239,positivo
perfeito,0.9923449106149058,0.0076550893850941566,positivo
excelentes,0.9879496239920268,0.01205037600797318,positivo
pequeno,0.9113647114474928,0.0886352885525071,positivo
impecável,0.9919202716297788,0.008079728370221327,positivo
bonito,0.9102855784576726,0.08971442154232741,positivo
saboroso,0.975690705269662,0.02430929473033807,positivo
razoável,0.8648198391165691,0.1351801608834309,positivo
cheio,0.8755543375355025,0.12444566246449748,positivo
principal,0.9175567230529416,0.08244327694705847,positivo
saborosos,0.9829658605974396,0.017034139402560454,positivo
legal,0.9292467821388845,0.07075321786111552,positivo
ruim,0.3268206840537858,0.6731793159462143,negativo
tradicional,0.9593569176397214,0.040643082360278575,positivo
especial,0.9493436684454484,0.050656331554551466,positivo
alto,0.8636430353735506,0.13635696462644945,positivo
mesmo,0.7844144882202527,0.21558551177974727,positivo
sensacional,0.9939463601532568,0.006053639846743296,positivo
ótimos,0.9851462312021404,0.014853768797859582,positivo
deliciosas,0.9960743615197184,0.003925638480281563,positivo
diferente,0.9122865658338208,0.08771343416617923,positivo
incrível,0.9766774641369736,0.023322535863026374,positivo
